Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),219
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),69745
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),8406
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),1139
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),4504
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),112166
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),28024
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),2758
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),363
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),2235
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),56061
