Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781555641,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781555642,20,,Aggregated,0.000000,0.000000,3,3,4,12,81,86,88,90,95,95,95,104,100,3,14.418171749919285,1.9313039956614375,94.88161299668718,233.35576923076923
1781555643,40,,Aggregated,0.000000,0.000000,3,3,4,5,48,86,95,130,150,150,150,300,291,3,13.32920217042556,1.8864360026782379,145.28628000698518,121.44
1781555644,60,,Aggregated,62.000000,58.000000,3,3,4,4,29,76,87,95,150,150,150,598,578,3,10.718863854796219,1.8487000052118674,145.28628000698518,128.08026755852842
1781555645,80,,Aggregated,108.500000,105.000000,3,3,4,4,21,68,85,88,150,150,150,993,956,3,9.398018324578041,1.8487000052118674,145.28628000698518,137.5679758308157
1781555646,100,,Aggregated,156.333333,151.000000,3,3,4,5,23,60,83,88,140,150,150,1476,1426,3,9.303447647862733,1.8487000052118674,145.28628000698518,119.33943089430895
1781555647,120,,Aggregated,208.250000,201.000000,3,4,4,6,33,76,100,130,160,170,170,2032,1962,3,11.927278293852417,1.8114940030500293,166.115505999187,125.49655511811024
1781555648,140,,Aggregated,254.800000,246.600000,3,4,4,8,33,76,120,150,170,180,180,2702,2608,3,12.520088674092355,1.8114940030500293,178.71063899656292,131.49629903774982
1781555649,160,,Aggregated,299.500000,289.500000,3,4,5,11,40,78,110,140,170,180,180,3442,3321,3,13.356552993192508,1.8114940030500293,178.71063899656292,131.71382916908775
1781555650,180,,Aggregated,344.571429,332.571429,3,4,11,18,55,84,140,180,270,290,290,4224,4073,3,16.961307037814606,1.8114940030500293,286.56492099980824,135.80658143939394
1781555651,200,,Aggregated,390.750000,377.250000,3,5,15,25,68,100,170,210,270,290,290,5055,4873,3,20.248868404080426,1.8114940030500293,286.56492099980824,137.97388724035608
1781555652,220,,Aggregated,429.777778,414.888889,4,9,21,34,80,130,210,230,300,300,300,5924,5706,4,24.97517710623367,1.8114940030500293,303.91997199330945,141.185685347738
1781555653,240,,Aggregated,468.400000,451.600000,4,12,28,44,90,150,220,250,290,300,300,6903,6655,4,28.6625619755456,1.8114940030500293,303.91997199330945,140.19324931189337
1781555654,260,,Aggregated,545.500000,525.700000,4,16,36,57,110,190,240,270,320,330,330,7842,7561,4,34.36247318427626,1.8114940030500293,331.4940339914756,136.21270084162202
1781555655,280,,Aggregated,623.800000,600.900000,5,21,46,68,140,210,250,280,320,330,330,8787,8470,5,39.864515668163975,1.8114940030500293,331.4940339914756,139.12472971435074
1781555656,300,,Aggregated,697.600000,672.400000,6,27,57,80,160,230,270,290,350,430,430,9842,9492,6,45.17975548690748,1.8114940030500293,431.8195759988157,133.56451940662467
1781555657,320,,Aggregated,750.500000,722.900000,6,32,67,91,190,240,280,300,370,390,430,10893,10506,6,50.541801939688156,1.8114940030500293,431.8195759988157,134.8411824107225
1781555658,340,,Aggregated,813.200000,783.200000,9,40,78,110,210,250,300,320,360,390,430,11957,11529,9,57.28528314836641,1.8114940030500293,431.8195759988157,135.6773438153383
1781555659,360,,Aggregated,863.600000,832.800000,11,48,90,130,230,270,310,330,390,460,460,12964,12504,11,63.613098146708566,1.8114940030500293,460.97642100357916,138.92155199012652
1781555660,380,,Aggregated,903.100000,870.600000,13,59,110,150,240,280,320,340,390,460,460,14048,13555,13,69.29465938718208,1.8114940030500293,460.97642100357916,136.70771640091115
1781555661,400,,Aggregated,940.400000,907.000000,17,69,130,170,250,300,340,370,460,490,490,15147,14616,17,77.29592305944696,1.8114940030500293,491.1734199995408,135.9437512378689
1781555662,420,,Aggregated,969.500000,935.000000,21,78,140,190,270,320,360,380,460,490,490,16297,15719,21,83.39294123037965,1.8114940030500293,491.1734199995408,137.21335215070258
1781555663,440,,Aggregated,997.300000,962.600000,25,90,170,210,280,330,370,390,460,490,490,17484,16865,25,90.3063231632925,1.8114940030500293,491.1734199995408,136.35724090597117
1781555664,460,,Aggregated,1024.100000,988.700000,30,100,180,220,290,330,370,400,490,540,560,18603,17959,30,95.71730506106279,1.8114940030500293,564.3010010098806,133.97968069666183
1781555665,480,,Aggregated,1048.200000,1012.200000,35,120,200,230,300,350,380,420,520,560,570,19829,19140,35,102.42632520656302,1.8114940030500293,572.097513009794,135.23092440365122
1781555666,500,,Aggregated,1062.700000,1026.100000,41,130,210,240,310,360,410,460,520,550,570,20922,20200,41,109.25470056169382,1.8114940030500293,572.097513009794,132.98312780804895
1781555667,520,,Aggregated,1089.800000,1053.500000,48,150,220,250,320,370,420,460,520,550,570,22172,21411,48,115.773084329783,1.8114940030500293,572.097513009794,133.46648926574056
1781555668,540,,Aggregated,1099.500000,1063.000000,55,170,240,270,340,380,440,470,540,600,600,23301,22507,55,122.88873128053795,1.8114940030500293,603.4850849973736,132.8447706107034
