Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),29
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),69896
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),8427
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),157
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),586
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),111664
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),28044
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),401
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),45
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),325
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),56336
