Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781551709,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781551710,20,,Aggregated,0.000000,0.000000,3,3,4,9,46,49,51,52,54,54,54,103,101,3,9.523981009656337,1.9995659968117252,54.19160799647216,192.62135922330097
1781551711,40,,Aggregated,0.000000,0.000000,3,3,3,4,21,49,54,55,57,57,57,303,293,3,7.721375745472194,1.8788759916787967,56.69887499243487,154.77887788778878
1781551712,60,,Aggregated,20.000000,20.000000,3,3,3,4,26,50,58,62,140,140,140,604,591,3,8.061210067708751,1.8517440039431676,141.39661598892417,141.05298013245033
1781551713,80,,Aggregated,71.000000,70.000000,3,3,3,4,16,49,65,100,250,250,250,1000,971,3,8.272754078047,1.8329459999222308,247.82507799682207,171.331
1781551714,100,,Aggregated,118.666667,115.333333,3,3,3,4,17,47,64,98,180,250,250,1496,1447,3,7.894568447256539,1.8112639954779297,247.82507799682207,168.95320855614975
1781551715,120,,Aggregated,168.250000,164.750000,3,3,4,5,20,46,65,98,150,250,250,2064,1997,3,8.382515954536764,1.8112639954779297,247.82507799682207,164.85513565891472
1781551716,140,,Aggregated,215.200000,209.200000,3,3,4,6,25,54,81,100,150,250,250,2734,2644,3,9.671347755368828,1.8112639954779297,247.82507799682207,148.82699341623993
1781551717,160,,Aggregated,265.333333,256.500000,3,4,5,10,32,61,99,110,170,250,250,3467,3354,3,11.337993800174747,1.8112639954779297,247.82507799682207,147.85982117104123
1781551718,180,,Aggregated,308.428571,298.428571,3,4,8,14,42,80,110,150,180,290,290,4278,4141,3,14.127476221902542,1.8112639954779297,290.0071960029891,142.0535296867695
1781551719,200,,Aggregated,357.625000,345.750000,3,4,10,17,51,100,150,170,250,290,290,5144,4983,3,17.22074167776259,1.8112639954779297,290.0071960029891,130.52391135303267
1781551720,220,,Aggregated,398.555556,385.777778,3,6,15,24,77,140,200,230,260,290,290,5944,5765,3,22.931701477454585,1.8112639954779297,290.0071960029891,123.30551816958277
1781551721,240,,Aggregated,439.600000,425.800000,4,9,20,33,100,160,220,240,300,310,310,6870,6662,4,27.63406951090147,1.8112639954779297,312.4472310009878,122.93304221251819
1781551722,260,,Aggregated,524.000000,507.400000,4,13,32,54,140,200,250,270,310,330,330,7800,7564,4,36.169589551524645,1.8112639954779297,327.0685850002337,119.35884615384616
1781551723,280,,Aggregated,594.200000,576.200000,5,18,42,71,160,220,260,300,370,390,390,8721,8451,5,41.924120563457244,1.8112639954779297,389.48687599622644,125.25272331154684
1781551724,300,,Aggregated,666.200000,646.100000,5,23,57,93,180,250,300,330,370,480,480,9624,9323,5,49.71999320376543,1.8112639954779297,480.3478239919059,125.95365752285952
1781551725,320,,Aggregated,723.300000,701.100000,6,29,73,110,220,280,350,380,430,490,560,10456,10128,6,58.2064147212259,1.8112639954779297,558.0980719969375,128.10491583779648
1781551726,340,,Aggregated,776.900000,752.200000,8,41,98,140,250,320,370,400,460,530,560,11414,11049,8,68.37380159857368,1.8112639954779297,558.0980719969375,133.23970562467144
