Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781464278,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781464279,20,,Aggregated,0.000000,0.000000,260,450,450,550,550,550,550,550,550,550,550,9,0,260.0,310.30420222223006,5.021595000016532,547.7075050000053,160.88888888888889
1781464280,40,,Aggregated,0.000000,0.000000,52,410,580,720,1400,1700,1800,1900,1900,1900,1900,100,0,52,388.6096696700019,3.0643599999962134,1943.5812749999855,1761.06
1781464281,60,,Aggregated,0.000000,0.000000,35,81,140,230,490,930,1700,1800,1900,1900,1900,325,0,35,173.23397993230918,3.0643599999962134,1943.5812749999855,2537.163076923077
1781464282,80,,Aggregated,11.000000,0.000000,42,79,140,200,320,650,1300,1700,1900,1900,1900,575,0,42,140.79760755652242,3.0124020000243945,1943.5812749999855,2463.0208695652173
1781464283,100,,Aggregated,47.666667,0.000000,46,86,170,240,360,580,990,1600,1900,1900,1900,835,0,46,140.03540127664678,2.9174240000315876,1943.5812749999855,2359.5077844311377
1781464284,100,,Aggregated,96.000000,0.000000,49,98,190,260,440,580,1200,1300,1800,1900,1900,1093,0,49,151.80867038243457,2.797719000000143,1943.5812749999855,2449.7859103385176
1781464285,100,,Aggregated,126.600000,0.000000,51,100,210,270,450,650,1200,1400,1800,1900,1900,1341,0,51,159.4634441170776,2.797719000000143,1943.5812749999855,2522.914988814318
1781464286,100,,Aggregated,146.000000,0.000000,54,100,220,280,480,720,1200,1400,1900,1900,1900,1567,0,54,168.38240424696892,2.797719000000143,1943.5812749999855,2529.423101467773
1781464287,100,,Aggregated,163.428571,0.000000,55,110,230,290,500,740,1200,1500,2100,2100,2100,1784,0,55,174.62454757959645,2.797719000000143,2144.83524100001,2580.115470852018
1781464288,100,,Aggregated,172.625000,0.000000,55,110,220,290,520,790,1200,1700,2300,2400,2400,2037,0,55,181.02338219243973,2.797719000000143,2395.5238460000032,2616.1757486499755
1781464289,100,,Aggregated,180.111111,0.000000,52,110,210,280,510,800,1200,1700,2400,2500,2500,2251,0,52,179.836881559307,2.797719000000143,2484.48627800002,2613.0901821412704
1781464290,100,,Aggregated,183.600000,0.000000,54,110,210,280,560,840,1200,1800,2700,3000,3000,2493,0,54,190.93713427396696,2.797719000000143,2964.625377999994,2646.0377055756117
1781464291,100,,Aggregated,209.200000,0.000000,52,110,200,270,560,840,1200,1800,2900,3000,3000,2709,0,52,188.91527189110403,2.797719000000143,2964.625377999994,2627.409745293466
1781464292,100,,Aggregated,226.900000,0.000000,52,110,200,270,610,890,1300,2000,3000,3000,3000,2940,0,52,196.4245839336739,2.797719000000143,3040.7972470000004,2643.3425170068026
1781464293,100,,Aggregated,239.100000,0.000000,52,110,200,270,630,920,1300,2100,2900,3000,3000,3214,0,52,198.4568787657123,2.797719000000143,3040.7972470000004,2664.1104542626013
1781464294,100,,Aggregated,237.400000,0.000000,52,120,200,270,620,890,1200,2100,2900,3000,3000,3466,0,52,197.63668886266566,2.797719000000143,3040.7972470000004,2660.6180034622043
1781464295,100,,Aggregated,236.800000,0.000000,52,120,200,270,640,880,1200,2100,2900,3000,3000,3703,0,52,198.24417307264372,2.797719000000143,3040.7972470000004,2678.733189305968
1781464296,100,,Aggregated,238.800000,0.000000,55,130,210,280,640,870,1200,2100,2900,3000,3000,3912,0,55,201.40272627172814,2.797719000000143,3040.7972470000004,2694.789621676892
1781464297,100,,Aggregated,237.300000,0.000000,55,130,220,280,660,880,1200,2100,2900,3000,3000,4132,0,55,204.20728537802518,2.797719000000143,3040.7972470000004,2717.9191674733784
