Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781561094,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781561095,20,,Aggregated,0.000000,0.000000,3,3,3,7,29,65,67,68,68,68,68,106,98,3,9.883221226221583,1.8570129905128852,67.85644000046887,248.4245283018868
1781561096,40,,Aggregated,0.000000,0.000000,3,3,3,4,18,34,64,66,68,68,68,314,300,3,6.936364620608859,1.840527998865582,67.85644000046887,177.18471337579618
1781561097,60,,Aggregated,27.000000,25.000000,3,3,3,3,18,29,43,64,68,68,68,611,586,3,6.131572786828354,1.8105130002368242,67.85644000046887,139.78887070376433
1781561098,80,,Aggregated,75.000000,70.000000,3,3,3,3,15,29,45,60,68,68,68,1009,963,3,5.957419840109925,1.8084199982695282,67.85644000046887,148.94747274529237
1781561099,100,,Aggregated,125.333333,119.666667,3,3,3,3,14,29,51,68,100,110,110,1505,1440,3,6.325485188375921,1.8084199982695282,105.6196360004833,124.0970099667774
1781561100,120,,Aggregated,173.750000,166.250000,3,3,3,4,14,30,47,65,100,110,110,2097,2012,3,6.295319237679069,1.8084199982695282,105.6196360004833,116.55555555555556
1781561101,140,,Aggregated,220.600000,210.800000,3,3,4,4,12,31,55,83,110,130,130,2773,2670,3,6.720101725808369,1.8084199982695282,131.0362260119291,118.57302560403895
1781561102,160,,Aggregated,270.166667,259.000000,3,3,4,4,18,42,88,110,150,150,150,3520,3391,3,8.601714428889615,1.8084199982695282,149.5862070005387,118.61363636363636
1781561103,180,,Aggregated,319.428571,307.142857,3,4,5,9,31,66,110,150,240,260,260,4312,4153,3,12.209260113305021,1.8084199982695282,255.6842899939511,123.9311224489796
1781561104,200,,Aggregated,361.625000,348.125000,3,4,6,11,41,88,140,190,240,260,260,5154,4956,3,14.904494565064745,1.8084199982695282,255.6842899939511,128.75397749320916
1781561105,200,,Aggregated,405.000000,390.333333,3,4,8,15,54,110,170,200,240,260,260,6006,5788,3,18.172664726682953,1.8084199982695282,255.6842899939511,124.99400599400599
1781561106,200,,Aggregated,446.700000,429.400000,3,4,10,17,61,120,180,200,240,260,260,6919,6675,3,19.43481441717548,1.8084199982695282,258.5660269978689,120.71021823963001
1781561107,200,,Aggregated,528.900000,509.000000,3,5,11,19,58,110,170,200,240,260,260,7798,7525,3,19.193707424523566,1.8084199982695282,258.5660269978689,124.33559887150551
1781561108,200,,Aggregated,604.000000,582.700000,3,5,11,19,60,120,180,200,250,260,260,8701,8406,3,19.67484303096106,1.8084199982695282,258.5660269978689,122.41822778990921
1781561109,200,,Aggregated,670.100000,646.900000,4,5,12,21,63,120,170,200,240,260,260,9601,9269,4,20.014920949419388,1.8084199982695282,258.5660269978689,125.53650661389439
1781561110,200,,Aggregated,727.400000,703.000000,4,5,13,24,69,120,170,200,240,260,260,10478,10123,4,20.9172416970208,1.756603000103496,258.5660269978689,126.02490933384233
1781561111,200,,Aggregated,776.600000,751.600000,4,5,13,23,65,110,170,200,240,260,260,11413,11029,4,20.23304413497003,1.756603000103496,258.5660269978689,124.35126610006134
1781561112,200,,Aggregated,813.800000,787.000000,4,6,14,24,68,110,170,200,240,260,260,12315,11894,4,20.743650109575913,1.756603000103496,258.5660269978689,124.21153065367439
1781561113,200,,Aggregated,843.000000,815.800000,4,6,14,25,70,110,170,200,240,260,260,13186,12735,4,20.80150737936163,1.756603000103496,258.5660269978689,126.57333535568027
1781561114,200,,Aggregated,866.200000,837.500000,4,6,16,26,74,110,170,200,240,260,260,14077,13600,4,21.594240437947416,1.756603000103496,260.22729100077413,129.3765717127229
1781561115,200,,Aggregated,881.400000,851.600000,4,6,16,27,77,120,170,200,240,260,260,14918,14408,4,22.21152007428689,1.756603000103496,260.22729100077413,130.17803995173617
1781561116,200,,Aggregated,890.100000,862.200000,4,6,15,26,74,120,170,200,240,260,260,15819,15264,4,21.634064094211812,1.756603000103496,260.22729100077413,135.16050319236362
1781561117,200,,Aggregated,890.800000,862.800000,4,6,15,26,75,120,170,200,260,290,290,16738,16156,4,22.006963355014665,1.756603000103496,287.81952199642546,134.53196319751464
1781561118,200,,Aggregated,889.700000,859.700000,4,6,15,25,73,120,170,200,250,290,290,17678,17049,4,21.496111964088918,1.756603000103496,287.81952199642546,138.29330240977487
1781561119,200,,Aggregated,891.900000,860.600000,4,6,16,26,75,120,170,200,250,290,290,18539,17883,4,22.034123456006405,1.756603000103496,287.81952199642546,135.77523059496198
1781561120,200,,Aggregated,893.800000,862.000000,4,6,16,27,75,120,170,200,250,290,290,19425,18739,4,21.96233722305182,1.756603000103496,287.81952199642546,136.96818532818534
1781561121,200,,Aggregated,890.500000,857.500000,4,6,16,27,76,120,170,200,250,290,290,20320,19611,4,22.2181706456489,1.756603000103496,287.81952199642546,136.5588090551181
1781561122,200,,Aggregated,889.700000,857.200000,4,6,15,25,73,120,170,200,250,290,290,21248,20508,4,21.63282923256072,1.756603000103496,287.81952199642546,136.96611445783134
1781561123,200,,Aggregated,892.300000,859.000000,4,6,15,25,74,120,180,210,260,290,290,22142,21370,4,21.92272515992186,1.756603000103496,287.81952199642546,138.43839761539155
1781561124,200,,Aggregated,892.100000,860.200000,4,6,15,25,72,120,170,200,260,290,290,23094,22291,4,21.6442628480487,1.756603000103496,287.81952199642546,137.76396466614705
1781561125,200,,Aggregated,894.000000,862.200000,4,6,15,25,72,120,170,200,250,290,290,24014,23175,4,21.503382954101813,1.756603000103496,287.81952199642546,139.87519780128258
1781561126,200,,Aggregated,894.300000,861.900000,4,6,15,24,69,110,170,200,250,290,290,24963,24091,4,21.146862835264738,1.756603000103496,287.81952199642546,138.57020390177462
1781561127,200,,Aggregated,900.900000,868.300000,4,6,15,24,68,110,170,200,250,290,290,25868,24961,4,20.952671379258014,1.756603000103496,287.81952199642546,138.91696304314212
1781561128,200,,Aggregated,907.100000,875.400000,4,6,15,25,68,110,170,200,250,290,290,26811,25868,4,20.835405388980433,1.756603000103496,287.81952199642546,139.17388385364217
1781561129,200,,Aggregated,912.100000,880.200000,4,6,15,25,66,110,170,200,250,290,290,27713,26733,4,20.61860596199018,1.756603000103496,287.81952199642546,140.04524952188504
1781561130,200,,Aggregated,911.400000,879.100000,4,6,15,25,67,110,170,200,250,290,290,28637,27628,4,20.711503131745413,1.756603000103496,287.81952199642546,139.4154415616161
1781561131,200,,Aggregated,916.700000,884.800000,4,6,15,25,66,110,160,200,250,290,290,29570,28515,4,20.51437557169638,1.756603000103496,287.81952199642546,141.18650659452146
1781561132,200,,Aggregated,920.100000,887.400000,4,6,15,25,66,110,160,200,250,290,290,30481,29390,4,20.54685655154851,1.756603000103496,287.81952199642546,139.78412781732882
1781561133,200,,Aggregated,919.000000,886.700000,4,6,15,24,65,110,160,190,250,290,290,31447,30315,4,20.241042615567252,1.756603000103496,287.81952199642546,140.56386936750724
1781561134,200,,Aggregated,922.600000,887.900000,4,6,15,24,64,100,160,190,250,290,290,32370,31210,4,20.000139842281843,1.756603000103496,287.81952199642546,139.67034291010194
1781561135,200,,Aggregated,921.100000,886.100000,4,6,15,24,63,100,160,190,250,290,290,33312,32112,4,19.965776922189704,1.756603000103496,287.81952199642546,139.66528578290107
1781561136,200,,Aggregated,926.600000,890.800000,4,6,15,24,64,100,160,190,250,290,290,34222,32984,4,20.079157929058617,1.756603000103496,287.81952199642546,140.06980889486294
1781561137,200,,Aggregated,926.600000,891.000000,4,6,15,24,64,100,160,190,250,290,290,35117,33845,4,19.93709872173759,1.756603000103496,287.81952199642546,139.7984736737193
