Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),20
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),78890
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),9478
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),77
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),334
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),126452
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),31715
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),211
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),32
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),157
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),63077
