Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),1515
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),61899
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),7359
GET,/feed/{user_id}?with_fof=true,RemoteDisconnected('Remote end closed connection without response'),2
GET,/timeline/{user_id},"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),7355
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),29556
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),99467
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),24737
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),18709
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),2349
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),14611
GET,/users/{user_id},RemoteDisconnected('Remote end closed connection without response'),1
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),49163
