Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),361
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),66846
GET,/timeline/{user_id},RemoteDisconnected('Remote end closed connection without response'),5
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),8149
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),1661
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),6907
POST,/posts,RemoteDisconnected('Remote end closed connection without response'),1
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),107196
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),26624
GET,/feed/{user_id},"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),4353
GET,/feed/{user_id},RemoteDisconnected('Remote end closed connection without response'),4
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),513
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),3438
GET,/users/{user_id},RemoteDisconnected('Remote end closed connection without response'),1
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),53861
