Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781567589,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781567590,20,,Aggregated,0.000000,0.000000,3,3,11,17,61,86,92,98,110,110,110,101,95,3,14.979972544565364,1.8996169965248555,109.9010489997454,362.5247524752475
1781567591,40,,Aggregated,0.000000,0.000000,3,3,5,10,37,65,90,98,110,110,110,298,288,3,11.66574138578226,1.8996169965248555,110.81245000241324,191.90604026845637
1781567592,60,,Aggregated,34.000000,33.000000,3,3,6,11,36,66,96,110,120,120,120,586,567,3,12.044615513440888,1.8996169965248555,122.05586799245793,162.60068259385665
1781567593,80,,Aggregated,82.500000,79.500000,3,4,12,20,44,79,96,110,190,190,190,973,941,3,14.100058442746807,1.8996169965248555,185.68412300373893,168.9496402877698
1781567594,100,,Aggregated,129.000000,124.666667,3,7,18,29,50,84,110,120,190,190,190,1432,1391,3,16.508061832229036,1.8620199989527464,193.86432600731496,138.66201117318437
1781567595,100,,Aggregated,175.250000,169.250000,3,6,17,27,54,88,110,130,190,210,210,1857,1802,3,17.09788597464757,1.8620199989527464,207.41967399953865,128.46742057081315
1781567596,100,,Aggregated,219.600000,212.200000,3,6,18,29,59,92,120,140,190,210,210,2326,2254,3,18.060845829164723,1.8620199989527464,207.41967399953865,131.2725709372313
1781567597,100,,Aggregated,256.833333,249.500000,3,5,15,24,54,88,120,130,190,210,210,2796,2710,3,16.887070048871987,1.8620199989527464,207.41967399953865,132.41273247496423
1781567598,100,,Aggregated,283.142857,274.857143,3,5,15,25,59,91,130,150,250,370,370,3214,3107,3,18.354983994316992,1.8620199989527464,371.3497939897934,130.934660858743
1781567599,100,,Aggregated,307.375000,297.875000,3,7,18,29,68,96,130,150,260,370,370,3659,3530,3,19.81095886459424,1.8620199989527464,371.3497939897934,137.40530199508063
1781567600,100,,Aggregated,321.111111,310.666667,3,7,17,28,70,100,140,190,260,370,370,4100,3961,3,20.479224876503505,1.8620199989527464,371.3497939897934,137.53243902439024
1781567601,100,,Aggregated,333.200000,322.000000,3,7,18,31,68,98,140,190,260,370,370,4543,4392,3,20.42117020106582,1.8620199989527464,371.3497939897934,140.81003742020692
1781567602,100,,Aggregated,375.500000,362.600000,3,7,18,31,67,100,140,180,260,370,370,5013,4849,3,20.235095506551815,1.8620199989527464,371.3497939897934,141.42409734689807
1781567603,100,,Aggregated,405.400000,392.000000,4,7,17,28,63,96,130,170,260,370,370,5473,5283,4,19.503035480283952,1.8620199989527464,371.3497939897934,144.99068152749862
1781567604,100,,Aggregated,428.400000,414.100000,3,7,17,28,63,95,130,160,260,370,370,5928,5723,3,19.334104774392173,1.8620199989527464,371.3497939897934,142.93201754385964
1781567605,100,,Aggregated,443.600000,428.900000,3,7,17,27,62,94,130,160,260,370,370,6363,6142,3,19.090718158567448,1.8620199989527464,371.3497939897934,138.66116611661167
1781567606,100,,Aggregated,451.500000,435.600000,4,7,18,28,62,95,130,190,310,370,370,6816,6575,4,19.845633150559816,1.8620199989527464,371.3497939897934,143.3544600938967
1781567607,100,,Aggregated,451.600000,434.900000,4,7,17,27,61,93,130,190,310,370,370,7277,7019,4,19.464793539935922,1.8620199989527464,371.3497939897934,140.46502679675692
1781567608,100,,Aggregated,449.500000,432.800000,4,7,17,27,58,92,130,180,310,370,370,7733,7462,4,19.07475839870038,1.8620199989527464,371.3497939897934,141.37980085348505
1781567609,100,,Aggregated,446.700000,429.600000,4,7,17,28,60,94,130,180,300,370,370,8175,7889,4,19.546967857495584,1.8620199989527464,371.3497939897934,141.52770642201835
1781567610,100,,Aggregated,450.400000,433.800000,4,8,18,28,63,96,140,180,300,370,370,8625,8323,4,19.926923568571404,1.8620199989527464,371.3497939897934,141.5034202898551
1781567611,100,,Aggregated,451.900000,435.600000,4,7,17,26,59,94,140,180,300,370,370,9105,8781,4,19.38735951836945,1.8620199989527464,371.3497939897934,141.75485996705106
1781567612,100,,Aggregated,449.500000,433.600000,4,7,17,26,59,94,140,180,300,370,370,9547,9202,4,19.283151898379867,1.8620199989527464,371.3497939897934,141.45302189169374
1781567613,100,,Aggregated,453.200000,436.700000,4,8,17,27,59,93,130,170,300,340,370,10008,9644,4,19.25438274988181,1.8620199989527464,371.3497939897934,143.5632494004796
1781567614,100,,Aggregated,455.500000,438.000000,4,8,17,27,57,92,130,170,300,340,370,10478,10093,4,19.061913979662346,1.8620199989527464,371.3497939897934,144.9805306356175
1781567615,100,,Aggregated,453.300000,435.700000,4,8,18,27,59,93,130,170,300,340,370,10922,10522,4,19.30782550238502,1.8620199989527464,371.3497939897934,144.81514374656658
