Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),328
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),50261
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),6121
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),1533
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),6458
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),81225
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),20258
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),3966
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),426
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),3146
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),40618
