Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),3
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),2730
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),312
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),15
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),41
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),4269
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),1136
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),32
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),5
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),24
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),2224
