Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),292
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),61447
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),7426
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),1387
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),5462
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),98422
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),24780
GET,/feed/{user_id},"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),3437
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),435
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),2745
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),49480
