Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781593774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781593775,20,,Aggregated,0.000000,0.000000,3,3,4,4,22,25,29,29,31,31,31,106,104,3,6.6209657555380135,1.9688009924720973,30.61455900024157,139.5188679245283
1781593776,25,,Aggregated,0.000000,0.000000,3,3,3,3,4,20,27,29,31,31,31,236,225,3,4.5572224587238575,1.9688009924720973,30.61455900024157,227.5550847457627
1781593777,25,,Aggregated,70.000000,69.000000,3,3,3,3,4,18,23,28,31,31,31,357,340,3,3.955359084476881,1.9688009924720973,30.61455900024157,189.2829131652661
1781593778,25,,Aggregated,92.000000,87.500000,3,3,3,3,4,4,23,27,31,31,31,482,463,3,3.7007587950681993,1.9401879981160164,30.61455900024157,147.72614107883817
1781593779,25,,Aggregated,101.666667,96.333333,3,3,3,3,4,4,20,24,31,31,31,605,582,3,3.502600180650946,1.9326269975863397,30.61455900024157,172.82314049586776
1781593780,25,,Aggregated,108.000000,103.500000,3,3,3,3,4,4,20,23,31,31,31,723,696,3,3.387462324056263,1.9326269975863397,30.61455900024157,163.54771784232366
1781593781,25,,Aggregated,110.800000,106.400000,3,3,3,3,3,4,19,23,31,31,31,846,819,3,3.2964095359729506,1.9326269975863397,30.61455900024157,143.98936170212767
1781593782,25,,Aggregated,112.500000,108.333333,3,3,3,3,3,4,14,23,31,31,31,966,934,3,3.2181847208849828,1.9326269975863397,30.61455900024157,140.6977225672878
1781593783,25,,Aggregated,113.857143,110.000000,3,3,3,3,3,4,14,23,31,150,150,1097,1061,3,3.320128926472465,1.9326269975863397,150.27515999099705,144.7511394712853
1781593784,25,,Aggregated,115.125000,111.250000,3,3,3,3,3,4,5,22,31,150,150,1214,1174,3,3.2595483421805835,1.9326269975863397,150.27515999099705,133.5988467874794
1781593785,25,,Aggregated,115.888889,112.000000,3,3,3,3,3,4,5,20,31,150,150,1333,1290,3,3.2315481660699135,1.9326269975863397,150.27515999099705,131.96549137284322
1781593786,25,,Aggregated,116.700000,112.800000,3,3,3,3,3,4,4,20,31,150,150,1459,1413,3,3.191606828249829,1.9326269975863397,150.27515999099705,123.07745030843043
1781593787,25,,Aggregated,121.900000,117.800000,3,3,3,3,3,4,4,20,31,150,150,1578,1530,3,3.1799934109119894,1.9326269975863397,150.27515999099705,122.55259822560203
1781593788,25,,Aggregated,122.500000,118.800000,3,3,3,3,3,4,4,19,31,150,150,1702,1648,3,3.15342062133189,1.9326269975863397,150.27515999099705,128.40775558166862
1781593789,25,,Aggregated,123.100000,120.000000,3,3,3,3,3,4,4,19,31,150,150,1830,1771,3,3.119059136920466,1.87994800216984,150.27515999099705,121.56612021857923
1781593790,25,,Aggregated,121.700000,118.100000,3,3,3,3,3,4,4,19,31,150,150,1954,1888,3,3.110043749505985,1.87994800216984,150.27515999099705,126.24923234390992
1781593791,25,,Aggregated,122.300000,119.100000,3,3,3,3,3,4,4,18,31,150,150,2079,2008,3,3.095658541840809,1.87994800216984,150.27515999099705,128.50986050986052
1781593792,25,,Aggregated,123.100000,119.400000,3,3,3,3,3,4,4,18,31,150,150,2198,2122,3,3.080958366001896,1.87994800216984,150.27515999099705,123.1747042766151
1781593793,25,,Aggregated,123.300000,119.100000,3,3,3,3,3,4,4,14,31,150,150,2320,2241,3,3.0679575316000784,1.87994800216984,150.27515999099705,126.98232758620689
1781593794,25,,Aggregated,123.100000,118.800000,3,3,3,3,3,4,4,11,31,150,150,2447,2361,3,3.052013951951886,1.87994800216984,150.27515999099705,136.54025337147527
1781593795,25,,Aggregated,122.900000,118.700000,3,3,3,3,3,4,4,10,31,150,150,2572,2478,3,3.0435521478793137,1.87994800216984,150.27515999099705,141.12791601866252
1781593796,25,,Aggregated,122.900000,118.300000,3,3,3,3,3,4,4,5,31,150,150,2695,2599,3,3.0351075678562713,1.87994800216984,150.27515999099705,139.85528756957328
1781593797,25,,Aggregated,123.600000,118.700000,3,3,3,3,3,4,4,6,31,150,150,2821,2718,3,3.0763498824373685,1.87994800216984,150.27515999099705,138.7061325771003
1781593798,25,,Aggregated,123.600000,118.800000,3,3,3,3,3,4,4,5,31,150,150,2945,2836,3,3.066686433078824,1.87994800216984,150.27515999099705,140.4869269949066
1781593799,25,,Aggregated,123.000000,118.000000,3,3,3,3,3,4,4,5,31,150,150,3064,2952,3,3.0539699149261885,1.87994800216984,150.27515999099705,142.28002610966058
1781593800,25,,Aggregated,124.500000,119.200000,3,3,3,3,3,4,4,5,31,150,150,3180,3060,3,3.0485479060835763,1.87994800216984,150.27515999099705,150.69716981132075
1781593801,25,,Aggregated,123.600000,117.900000,3,3,3,3,3,4,4,5,31,150,150,3304,3181,3,3.0450552410418483,1.87994800216984,150.27515999099705,152.78117433414045
1781593802,25,,Aggregated,123.100000,117.500000,3,3,3,3,3,4,4,5,31,150,150,3426,3297,3,3.042035079230379,1.87994800216984,150.27515999099705,150.26707530647985
1781593803,25,,Aggregated,122.200000,117.000000,3,3,3,3,3,4,4,5,31,150,150,3548,3416,3,3.0380295006554494,1.87994800216984,150.27515999099705,149.11894024802706
1781593804,25,,Aggregated,122.400000,117.300000,3,3,3,3,3,4,4,5,31,150,150,3674,3535,3,3.0273444219641936,1.87994800216984,150.27515999099705,147.91562329885684
1781593805,25,,Aggregated,123.000000,117.600000,3,3,3,3,3,4,4,5,31,150,150,3798,3658,3,3.0228466667229563,1.87994800216984,150.27515999099705,144.03501843075304
1781593806,25,,Aggregated,123.000000,117.900000,3,3,3,3,3,4,4,5,31,150,150,3913,3769,3,3.048786528569718,1.87994800216984,150.27515999099705,142.9128545872732
1781593807,25,,Aggregated,121.700000,116.800000,3,3,3,3,3,4,4,5,31,150,150,4036,3886,3,3.0448392646992835,1.87994800216984,150.27515999099705,144.08870168483648
1781593808,25,,Aggregated,122.000000,117.000000,3,3,3,3,3,4,4,5,31,150,150,4163,4011,3,3.038010401911471,1.87994800216984,150.27515999099705,143.04347826086956
1781593809,25,,Aggregated,122.400000,117.500000,3,3,3,3,3,4,4,5,31,150,150,4286,4127,3,3.030287527343667,1.87994800216984,150.27515999099705,143.6724218385441
1781593810,25,,Aggregated,121.500000,117.200000,3,3,3,3,3,4,4,5,31,150,150,4402,4238,3,3.0253694768948396,1.87994800216984,150.27515999099705,140.6519763743753
1781593811,25,,Aggregated,121.900000,117.200000,3,3,3,3,3,4,4,5,31,150,150,4526,4358,3,3.0202945124230514,1.87994800216984,150.27515999099705,139.00022094564738
1781593812,25,,Aggregated,121.400000,116.900000,3,3,3,3,3,4,4,5,31,150,150,4649,4480,3,3.015459928185857,1.87994800216984,150.27515999099705,136.09141750914176
1781593813,25,,Aggregated,122.200000,117.800000,3,3,3,3,3,4,4,5,31,150,150,4771,4599,3,3.0083012255589456,1.87994800216984,150.27515999099705,133.35485223223642
1781593814,25,,Aggregated,122.200000,117.900000,3,3,3,3,3,4,4,5,31,150,150,4893,4717,3,3.0008222054093032,1.87994800216984,150.27515999099705,130.84753729818107
1781593815,25,,Aggregated,121.900000,117.800000,3,3,3,3,3,4,4,5,29,150,150,5010,4828,3,2.9954813954226593,1.87994800216984,150.27515999099705,134.3453093812375
1781593816,25,,Aggregated,121.500000,117.600000,3,3,3,3,3,4,4,5,29,150,150,5129,4946,3,2.9897820713600627,1.87994800216984,150.27515999099705,131.90232014037824
1781593817,25,,Aggregated,121.900000,117.900000,3,3,3,3,3,4,4,5,29,150,150,5251,5060,3,2.9882280291265193,1.87994800216984,150.27515999099705,136.96914873357457
1781593818,25,,Aggregated,121.400000,117.500000,3,3,3,3,3,4,4,5,29,150,150,5372,5176,3,2.9902864260920525,1.87994800216984,150.27515999099705,136.92684288905434
1781593819,25,,Aggregated,121.300000,117.200000,3,3,3,3,3,4,4,5,29,150,150,5494,5295,3,2.98465056478827,1.87994800216984,150.27515999099705,138.26647251547143
1781593820,25,,Aggregated,121.200000,116.900000,3,3,3,3,3,4,4,5,29,150,150,5615,5410,3,2.988895997857548,1.87994800216984,150.27515999099705,137.0653606411398
1781593821,25,,Aggregated,121.300000,117.300000,3,3,3,3,3,4,4,5,29,150,150,5738,5530,3,2.9846063422820013,1.87994800216984,150.27515999099705,138.34332520041826
1781593822,25,,Aggregated,121.300000,117.400000,3,3,3,3,3,4,4,5,29,150,150,5859,5645,3,2.982885492210141,1.87994800216984,150.27515999099705,140.00802184673154
1781593823,25,,Aggregated,121.000000,117.000000,3,3,3,3,3,4,4,5,29,150,150,5984,5767,3,2.979843706020437,1.87994800216984,150.27515999099705,137.68933823529412
1781593824,25,,Aggregated,120.400000,116.100000,3,3,3,3,3,4,4,5,29,150,150,6111,5890,3,2.975131130073378,1.87994800216984,150.27515999099705,137.13123874979544
1781593825,25,,Aggregated,120.900000,116.400000,3,3,3,3,3,4,4,5,29,150,150,6230,6003,3,2.9768788548728136,1.87994800216984,150.27515999099705,140.69422150882826
1781593826,25,,Aggregated,121.500000,117.300000,3,3,3,3,3,4,4,5,29,150,150,6353,6122,3,2.9729164265357566,1.87994800216984,150.27515999099705,141.20525735872815
1781593827,25,,Aggregated,121.500000,117.100000,3,3,3,3,3,4,4,5,29,150,150,6477,6241,3,2.9924798421912384,1.87994800216984,150.27515999099705,142.23730121970047
1781593828,25,,Aggregated,122.500000,117.800000,3,3,3,3,3,4,4,5,29,150,150,6595,6355,3,2.991116747517902,1.87994800216984,150.27515999099705,143.05610310841547
1781593829,25,,Aggregated,121.900000,117.200000,3,3,3,3,3,4,4,5,29,150,150,6717,6473,3,2.9879410849727894,1.87994800216984,150.27515999099705,142.527467619473
1781593830,25,,Aggregated,122.400000,117.800000,3,3,3,3,3,4,4,5,29,150,150,6838,6592,3,2.985539374789604,1.87994800216984,150.27515999099705,141.79482304767475
1781593831,25,,Aggregated,121.900000,117.600000,3,3,3,3,3,4,4,5,29,150,150,6965,6707,3,2.982860413171957,1.87994800216984,150.27515999099705,148.05886575735823
1781593832,25,,Aggregated,122.200000,117.800000,3,3,3,3,3,4,4,5,29,150,150,7094,6832,3,2.9785136499481775,1.87994800216984,150.27515999099705,150.8810262193403
1781593833,25,,Aggregated,122.600000,118.100000,3,3,3,3,3,4,4,5,29,150,150,7215,6950,3,2.9762775395302734,1.87994800216984,150.27515999099705,148.83797643797644
1781593834,25,,Aggregated,123.800000,118.800000,3,3,3,3,3,4,4,5,29,150,150,7336,7067,3,2.9831460751933663,1.87994800216984,150.27515999099705,147.80288985823336
1781593835,25,,Aggregated,123.900000,119.400000,3,3,3,3,3,4,4,5,29,150,150,7460,7186,3,2.984708112277276,1.87994800216984,150.27515999099705,146.97962466487937
1781593836,25,,Aggregated,122.700000,117.700000,3,3,3,3,3,4,4,5,29,150,150,7595,7315,3,2.9797060373437714,1.87994800216984,150.27515999099705,149.79881500987491
1781593837,25,,Aggregated,123.300000,118.400000,3,3,3,3,3,4,4,4,29,150,150,7715,7431,3,2.975904818353251,1.8563310004537925,150.27515999099705,147.99559300064809
1781593838,25,,Aggregated,123.200000,118.600000,3,3,3,3,3,4,4,4,29,150,150,7844,7557,3,2.9729440161299947,1.8563310004537925,150.27515999099705,148.17006629270782
1781593839,25,,Aggregated,124.600000,119.800000,3,3,3,3,3,4,4,4,29,150,150,7968,7671,3,2.971090453264108,1.8563310004537925,150.27515999099705,149.89721385542168
1781593840,25,,Aggregated,123.900000,119.200000,3,3,3,3,3,4,4,4,29,150,150,8087,7789,3,2.9697853346861747,1.8563310004537925,150.27515999099705,148.11920366019538
