Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781593161,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781593162,20,,Aggregated,0.000000,0.000000,3,4,6,10,17,30,35,35,47,47,47,103,101,3,7.462307748337303,1.9815900013782084,46.687940004630946,91.85436893203884
1781593163,40,,Aggregated,0.000000,0.000000,3,4,4,5,13,19,30,32,47,47,47,304,299,3,5.450979019482666,1.8610480037750676,46.687940004630946,50.31578947368421
1781593164,60,,Aggregated,73.000000,72.000000,3,3,4,4,13,20,29,35,54,54,54,608,589,3,5.314462682427371,1.8610480037750676,53.790148012922145,121.37993421052632
1781593165,80,,Aggregated,124.500000,122.000000,3,3,4,4,12,20,35,44,180,180,180,997,959,3,5.500449214355764,1.8610480037750676,178.6595989979105,128.76930792377132
1781593166,100,,Aggregated,173.000000,167.666667,3,3,4,4,7,19,32,44,170,180,180,1501,1448,3,5.33309226494911,1.8610480037750676,178.6595989979105,116.30179880079946
1781593167,120,,Aggregated,220.750000,212.750000,3,4,4,4,10,21,42,78,180,200,200,2073,1998,3,6.233831049551629,1.8610480037750676,199.45504699717276,142.70477568740955
1781593168,140,,Aggregated,269.000000,260.000000,3,4,4,4,9,21,43,58,180,200,200,2774,2674,3,6.125079357032653,1.8610480037750676,199.45504699717276,140.99639509733237
1781593169,160,,Aggregated,315.666667,304.666667,3,4,4,4,8,20,36,55,170,200,200,3576,3446,3,5.98757214585027,1.8610480037750676,199.45504699717276,133.57019015659955
1781593170,180,,Aggregated,365.714286,353.285714,3,4,4,5,11,23,43,62,180,200,200,4452,4286,3,6.490515024207588,1.8610480037750676,199.45504699717276,133.72619047619048
1781593171,200,,Aggregated,417.250000,402.000000,3,4,5,5,12,23,41,59,180,200,200,5420,5221,3,6.505025837430709,1.8610480037750676,199.45504699717276,139.81457564575646
1781593172,220,,Aggregated,464.444444,446.777778,4,4,5,5,13,26,48,68,180,250,250,6504,6268,4,7.135717960290657,1.8610480037750676,247.30178999016061,139.28674661746618
1781593173,240,,Aggregated,512.900000,494.300000,4,4,5,6,15,27,49,66,180,250,250,7624,7347,4,7.40811912199517,1.8610480037750676,247.30178999016061,140.8004984260231
1781593174,260,,Aggregated,608.200000,586.000000,4,5,5,6,17,33,59,83,180,250,250,8877,8559,4,8.37461928110353,1.8610480037750676,247.30178999016061,135.40711952236117
1781593175,280,,Aggregated,706.900000,681.300000,4,5,6,7,20,40,67,93,190,210,250,10188,9822,4,9.329886310901484,1.8610480037750676,247.30178999016061,135.37102473498234
1781593176,300,,Aggregated,798.300000,769.000000,4,5,7,9,23,43,66,87,190,210,250,11603,11181,4,10.018373959732438,1.8610480037750676,247.30178999016061,131.91958976126864
1781593177,320,,Aggregated,889.000000,857.400000,4,6,8,11,24,44,71,100,200,230,250,13069,12598,4,10.702713974046707,1.8610480037750676,247.30178999016061,132.91169944142626
1781593178,340,,Aggregated,982.400000,946.300000,5,7,10,14,29,50,77,100,200,280,280,14593,14063,5,11.997907549724722,1.8610480037750676,279.73810900584795,130.26204344548756
1781593179,360,,Aggregated,1068.500000,1029.200000,5,7,12,16,34,55,89,120,250,290,290,16146,15580,5,13.609643313450459,1.8610480037750676,291.09738700208254,124.26025021677195
1781593180,380,,Aggregated,1152.800000,1110.600000,5,9,15,20,42,62,100,150,250,290,300,17724,17095,5,15.799859033225188,1.8610480037750676,296.527482001693,126.16576393590611
1781593181,400,,Aggregated,1230.000000,1187.100000,6,11,18,23,46,69,110,170,270,310,310,19310,18607,6,17.595650553505262,1.8610480037750676,309.55597999854945,127.51626100466079
1781593182,420,,Aggregated,1303.700000,1258.500000,7,13,20,26,48,75,130,200,320,380,380,21038,20276,7,19.815284036940483,1.8610480037750676,380.7738299947232,128.2653769369712
1781593183,440,,Aggregated,1376.500000,1327.200000,7,15,23,30,56,88,160,220,370,420,440,22776,21943,7,22.66007988725844,1.8610480037750676,436.17146300675813,130.35546188970847
1781593184,460,,Aggregated,1435.900000,1383.400000,9,18,27,35,64,110,190,240,360,420,440,24443,23557,9,25.905031631644686,1.8610480037750676,436.17146300675813,129.73792087714273
1781593185,480,,Aggregated,1486.900000,1432.300000,10,21,32,42,74,120,200,250,360,420,440,26089,25140,10,28.971376870425658,1.8610480037750676,436.17146300675813,132.32849093487675
1781593186,500,,Aggregated,1528.300000,1472.000000,12,25,39,49,85,130,220,270,360,420,440,27827,26834,12,32.687239021477886,1.8610480037750676,436.17146300675813,131.4019477485895
1781593187,520,,Aggregated,1570.700000,1511.600000,14,30,46,57,94,150,230,270,360,420,440,29548,28494,14,36.308859251849555,1.8610480037750676,436.17146300675813,131.25236902666848
1781593188,540,,Aggregated,1599.800000,1542.600000,16,36,54,66,110,160,240,280,360,420,440,31203,30077,16,40.38582117661522,1.8610480037750676,436.17146300675813,133.75002403615036
1781593189,560,,Aggregated,1624.100000,1566.300000,19,43,63,77,120,170,240,290,370,420,440,32832,31644,19,44.72518010224337,1.8610480037750676,436.17146300675813,133.91648391812865
1781593190,580,,Aggregated,1642.300000,1583.800000,21,49,72,89,130,180,240,290,370,420,440,34497,33243,21,49.1835371874591,1.8610480037750676,436.17146300675813,135.02637910542947
1781593191,600,,Aggregated,1645.800000,1584.900000,24,56,83,96,140,190,250,290,370,420,440,36059,34742,24,53.18634815239215,1.8610480037750676,436.17146300675813,134.43317895670984
1781593192,620,,Aggregated,1656.400000,1594.600000,27,64,91,100,150,200,260,300,400,460,480,37719,36360,27,57.611743451980786,1.8610480037750676,484.1066399967531,133.35703491609004
1781593193,640,,Aggregated,1654.500000,1593.700000,31,72,98,110,160,210,270,320,420,470,480,39333,37915,31,62.1286770395186,1.8610480037750676,484.1066399967531,131.9612793328757
1781593194,660,,Aggregated,1644.300000,1585.200000,36,82,110,120,170,220,290,330,440,530,530,41085,39627,36,67.13584552049339,1.8610480037750676,533.4873110114131,130.82402336619205
1781593195,680,,Aggregated,1638.500000,1581.000000,41,89,110,130,180,230,300,340,460,530,540,42718,41195,41,71.59392160925727,1.8610480037750676,543.5601310018683,131.2533124209935
1781593196,700,,Aggregated,1635.000000,1578.400000,46,96,120,140,190,240,300,350,460,530,540,44419,42826,46,76.34117808861754,1.8610480037750676,543.5601310018683,131.6404466557104
1781593197,700,,Aggregated,1626.600000,1571.200000,52,100,130,150,200,250,310,350,460,530,550,46186,44534,52,80.8234206925072,1.8610480037750676,554.9453959974926,131.5947256744468
1781593198,700,,Aggregated,1622.400000,1565.200000,57,110,140,150,210,260,320,360,480,550,570,47969,46259,57,85.44836305387844,1.8610480037750676,570.5958689941326,131.69609539494257
1781593199,700,,Aggregated,1618.300000,1560.100000,64,120,140,160,210,260,320,370,490,560,610,49605,47837,64,89.146123588076,1.8610480037750676,605.8971000020392,131.7234149783288
1781593200,700,,Aggregated,1604.700000,1548.000000,69,120,150,170,220,270,330,370,490,560,610,51163,49339,69,92.78175260059676,1.8610480037750676,605.8971000020392,130.55508863827376
1781593201,700,,Aggregated,1610.000000,1553.900000,75,130,160,170,230,270,340,380,520,590,610,52715,50849,75,96.5849545453708,1.8610480037750676,607.1493569907034,128.32061083183154
1781593202,700,,Aggregated,1598.700000,1543.800000,83,130,160,180,230,280,340,390,510,590,610,54416,52498,82,99.74282009538327,1.8610480037750676,607.1493569907034,128.16386724492796
1781593203,700,,Aggregated,1587.900000,1533.800000,88,140,160,180,230,280,340,390,510,590,610,56118,54131,88,102.33357521120688,1.8610480037750676,607.1493569907034,128.52906375850887
1781593205,700,,Aggregated,1593.900000,1540.000000,93,140,160,180,230,280,350,390,510,590,610,57824,55771,93,105.06371547249665,1.8610480037750676,607.1493569907034,128.96242044825678
1781593206,700,,Aggregated,1598.300000,1543.400000,97,140,170,190,240,290,350,400,510,590,610,59455,57348,97,107.8999118786631,1.8610480037750676,607.1493569907034,129.1117315616853
1781593207,700,,Aggregated,1602.500000,1546.800000,100,150,170,190,240,290,350,400,510,590,610,61024,58868,100,110.25988948406997,1.8610480037750676,607.1493569907034,128.9305846879916
1781593208,700,,Aggregated,1601.100000,1545.600000,100,150,170,190,240,290,360,400,510,590,610,62662,60444,100,112.72686515030985,1.8610480037750676,607.1493569907034,128.63044588426797
1781593209,700,,Aggregated,1588.600000,1535.600000,110,150,180,190,240,300,360,410,530,620,680,64290,62017,110.0,115.07012273787207,1.8610480037750676,677.4076229921775,128.15134546585784
1781593210,700,,Aggregated,1592.700000,1537.800000,110,150,180,200,250,300,360,410,540,620,680,66042,63707,110.0,117.22613277338787,1.8610480037750676,677.4076229921775,128.19726840495443
1781593211,700,,Aggregated,1582.800000,1528.100000,120,160,180,200,250,300,360,410,540,620,680,67704,65316,120.0,119.10633845039033,1.8610480037750676,677.4076229921775,127.25509571074087
1781593212,700,,Aggregated,1596.600000,1541.600000,120,160,180,200,250,300,370,420,540,620,680,69502,67051,120.0,121.4797948658176,1.8610480037750676,677.4076229921775,127.29908491841961
1781593213,700,,Aggregated,1600.700000,1545.700000,120,160,180,200,250,300,370,420,540,620,680,71077,68551,120.0,123.1269211051144,1.8610480037750676,677.4076229921775,127.8845336747471
1781593214,700,,Aggregated,1597.200000,1540.900000,130,160,190,200,250,310,370,420,540,620,680,72747,70147,130.0,124.97127417409098,1.8610480037750676,677.4076229921775,128.62634885287366
1781593215,700,,Aggregated,1598.200000,1540.600000,130,160,190,210,250,310,380,420,540,620,680,74386,71728,130.0,126.60610322303523,1.8610480037750676,677.4076229921775,128.85873685908638
1781593216,700,,Aggregated,1599.300000,1540.300000,130,160,190,210,250,310,380,430,550,620,680,76018,73301,130.0,128.06698048892184,1.8610480037750676,677.4076229921775,128.8511931384672
1781593217,700,,Aggregated,1585.200000,1526.400000,130,160,190,210,250,310,380,430,550,620,680,77709,74929,130.0,129.5371520188001,1.8610480037750676,677.4076229921775,128.5684283673706
1781593218,700,,Aggregated,1588.500000,1529.100000,130,160,190,210,260,310,380,430,550,620,680,79412,76574,130.0,130.8035247263925,1.8610480037750676,677.4076229921775,127.21987860776709
1781593219,700,,Aggregated,1597.700000,1537.600000,140,170,190,210,260,310,380,430,550,620,680,81022,78122,140.0,132.39608020997133,1.8610480037750676,677.4076229921775,127.47278516946015
1781593220,700,,Aggregated,1601.800000,1542.900000,140,170,190,210,260,310,380,430,550,620,680,82640,79696,140.0,133.7158921218554,1.8610480037750676,677.4076229921775,126.8527105517909
1781593221,700,,Aggregated,1607.500000,1547.500000,140,170,200,210,260,310,380,430,550,620,680,84300,81298,140.0,135.06541080690238,1.8610480037750676,677.4076229921775,126.45920521945433
1781593222,700,,Aggregated,1604.400000,1544.700000,140,170,200,210,260,310,380,430,550,620,680,85932,82870,140.0,136.04282754144594,1.8610480037750676,677.4076229921775,126.9124773076386
1781593223,700,,Aggregated,1603.300000,1544.400000,140,170,200,210,260,320,390,430,550,630,680,87664,84532,140.0,137.26660205035685,1.8610480037750676,677.4076229921775,126.58929549187808
1781593224,700,,Aggregated,1605.500000,1546.300000,140,170,200,210,260,320,390,440,560,650,680,89322,86123,140.0,138.55578220127074,1.8610480037750676,677.4076229921775,126.78644678802534
1781593225,700,,Aggregated,1606.200000,1547.100000,140,170,200,210,260,320,390,440,560,640,680,91039,87786,140.0,139.64006935125317,1.8610480037750676,677.4076229921775,126.98633552653259
1781593226,700,,Aggregated,1604.200000,1546.200000,140,170,200,210,260,320,390,440,560,640,680,92683,89376,140.0,140.54554436064583,1.8610480037750676,677.4076229921775,126.45690148139357
1781593227,700,,Aggregated,1606.600000,1548.700000,140,170,200,220,260,320,390,440,560,640,680,94486,91122,140.0,141.4929618272128,1.8610480037750676,677.4076229921775,126.20521558749445
1781593229,700,,Aggregated,1604.400000,1547.800000,140,170,200,220,260,320,390,440,560,640,680,96206,92774,140.0,142.3213934399527,1.8610480037750676,677.4076229921775,126.72150385630835
1781593230,700,,Aggregated,1609.500000,1552.600000,150,170,200,220,260,320,390,440,560,640,680,97947,94461,150.0,143.2196031787286,1.8610480037750676,677.4076229921775,126.14563998897363
1781593231,700,,Aggregated,1610.700000,1554.300000,150,170,200,220,270,320,390,440,560,650,680,99576,96033,150.0,144.2025210457127,1.8610480037750676,677.4076229921775,126.44583032055917
1781593232,700,,Aggregated,1613.400000,1557.300000,150,180,200,220,270,320,390,440,560,640,680,101240,97630,150.0,145.19004427777824,1.8610480037750676,677.4076229921775,126.43168708020545
1781593233,700,,Aggregated,1614.900000,1557.500000,150,180,200,220,270,320,400,440,570,650,680,102918,99250,150.0,145.9545305774658,1.8610480037750676,677.4076229921775,126.27408227909598
1781593234,700,,Aggregated,1614.700000,1556.700000,150,180,200,220,270,320,400,440,570,650,680,104604,100874,150.0,146.83663870136357,1.8610480037750676,677.4076229921775,126.08300829796184
1781593235,700,,Aggregated,1622.300000,1565.000000,150,180,200,220,270,330,390,440,570,650,680,106258,102471,150.0,147.50560833356113,1.8610480037750676,677.4076229921775,126.10259933369723
1781593236,700,,Aggregated,1618.800000,1562.800000,150,180,200,220,270,330,400,440,570,650,680,107938,104095,150.0,148.15789972656827,1.8610480037750676,677.4076229921775,126.12550723563527
1781593237,700,,Aggregated,1628.100000,1571.800000,150,180,200,220,270,330,400,440,570,650,680,109591,105677,150.0,149.09106843563092,1.8610480037750676,677.4076229921775,126.0482977616775
1781593238,700,,Aggregated,1621.000000,1564.900000,150,180,200,220,270,330,400,440,570,640,680,111255,107288,150.0,149.6890684623802,1.8610480037750676,677.4076229921775,126.37619882252483
1781593239,700,,Aggregated,1621.100000,1563.100000,150,180,210,220,270,330,400,440,570,640,680,112935,108917,150.0,150.4907906821336,1.8610480037750676,677.4076229921775,126.68011688139195
1781593240,700,,Aggregated,1619.500000,1561.100000,150,180,210,220,270,330,400,440,570,640,680,114538,110452,150.0,151.201356454598,1.8610480037750676,677.4076229921775,127.09370689203583
1781593241,700,,Aggregated,1613.300000,1556.600000,150,180,210,220,270,330,400,440,570,640,680,116160,112012,150.0,151.88195566141263,1.8610480037750676,677.4076229921775,126.95751549586777
1781593242,700,,Aggregated,1612.100000,1553.700000,150,180,210,220,270,330,400,450,570,650,680,117868,113670,150.0,152.6933665603455,1.8610480037750676,677.4076229921775,126.74179590728612
1781593243,700,,Aggregated,1612.100000,1553.300000,150,180,210,220,270,330,400,450,570,650,680,119515,115256,150.0,153.60278181465605,1.8610480037750676,677.4076229921775,126.56788687612433
1781593244,700,,Aggregated,1613.300000,1556.400000,150,180,210,220,280,330,400,450,570,640,680,121161,116841,150.0,154.26240840432422,1.8610480037750676,677.4076229921775,126.62930315860714
1781593245,700,,Aggregated,1593.900000,1536.900000,150,180,210,220,280,330,400,450,580,660,700,122806,118436,150.0,154.94041976998034,1.8610480037750676,698.5111829999369,127.1284057782193
1781593246,700,,Aggregated,1586.600000,1529.600000,150,180,210,230,280,340,410,450,580,660,700,124352,119927,150.0,155.9295436508324,1.8610480037750676,698.5111829999369,127.29744595985589
