Method,Name,Error,Occurrences
POST,/likes,HTTPError('500 Server Error: Internal Server Error for url: /likes'),307
GET,/timeline/{user_id},HTTPError('404 Client Error: Not Found for url: /timeline/{user_id}'),49305
POST,/posts,HTTPError('404 Client Error: Not Found for url: /posts'),5883
GET,/users/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /users/{user_id}'),1564
GET,/feed/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}'),6229
GET,/feed/{user_id},HTTPError('404 Client Error: Not Found for url: /feed/{user_id}'),77619
GET,/users/{user_id},HTTPError('404 Client Error: Not Found for url: /users/{user_id}'),19541
GET,/timeline/{user_id},HTTPError('500 Server Error: Internal Server Error for url: /timeline/{user_id}'),3985
POST,/posts,HTTPError('500 Server Error: Internal Server Error for url: /posts'),499
GET,/feed/{user_id}?with_fof=true,HTTPError('500 Server Error: Internal Server Error for url: /feed/{user_id}?with_fof=true'),3163
GET,/feed/{user_id}?with_fof=true,HTTPError('404 Client Error: Not Found for url: /feed/{user_id}?with_fof=true'),39217
